arc,saga,canon
Romance Dawn,East Blue,1
Orange Town,East Blue,1
Syrup Village,East Blue,1
Baratie,East Blue,1
Arlong Park,East Blue,1
Loguetown,East Blue,1
Buggy's Crew Adventure Chronicles,East Blue,1
Warship Island,East Blue,0
Reverse Mountain,Arabasta,1
Whisky Peak,Arabasta,1
Diary of Koby-Meppo,Arabasta,1
Little Garden,Arabasta,1
Drum Island,Arabasta,1
Arabasta,Arabasta,1
Post-Arabasta,Arabasta,0
Goat Island,Sky Island,0
Ruluka Island,Sky Island,0
Jaya,Sky Island,1
Skypiea,Sky Island,1
G-8,Sky Island,0
Long Ring Long Land,Water 7,1
Ocean's Dream,Water 7,0
Foxy's Return,Water 7,0
Water 7,Water 7,1
Enies Lobby,Water 7,1
Boss Luffy Historical Episode,Special Episode,0
Post-Enies Lobby,Water 7,1
Ice Hunter,Thriller Bark,0
Chopper Man Special,Special Episode,0
Thriller Bark,Thriller Bark,1
Spa Island,Thriller Bark,0
Sabaody Archipelago,Summit War,1
Amazon Lily,Summit War,1
Straw Hat's Separation Serial,Summit War,1
Impel Down,Summit War,1
Little East Blue,Summit War,0
Marineford,Summit War,1
Post-War,Summit War,1
Toriko Crossover,Special Episode,0
Return to Sabaody,Fish-Man Island,1
Fish-Man Island,Fish-Man Island,1
Z's Ambition,Dressrosa,0
Punk Hazard,Dressrosa,1
Toriko & Dragon Ball Crossover,Special Episode,0
Caesar Retrieval,Dressrosa,0
Dressrosa,Dressrosa,1
Silver Mine,Four Emperors,0
Zou,Four Emperors,1
Marine Rookie,Four Emperors,0
Whole Cake Island,Four Emperors,1
Reverie,Four Emperors,1
Wano Country,Four Emperors,1
Cidre Guild,Four Emperors,0
Anime 20th Anniversary Special,Four Emperors,0